Job 	 | Submit time 	 | Run time 	 | Job Type-ExecTime 	 | Num nodes
-------------------------------------------------
Job  0:      0 	  12072 	      8-    60 	     16
Job  1:      1 	      2 	      2-   180 	      1
Job  2:     31 	  24089 	      0-   210 	      1
Job  3:     10 	   9053 	      5-     5 	    128
Job  4:      3 	   8843 	      3-    15 	      1
Job  5:     12 	      8 	      8-    60 	      1
Job  6:      2 	     82 	      4-    10 	      1
Job  7:     20 	    652 	      2-   180 	     32
Job  8:     24 	    107 	      3-    15 	      1
Job  9:     11 	  15613 	      0-   210 	     16
Job 10:     10 	     36 	     10-     5 	     13
Job 11:      1 	  16551 	      2-   180 	      1
Job 12:    300 	      4 	      4-    10 	      1
Job 13:      7 	     36 	     10-     5 	      1
Job 14:     17 	     24 	     11-  1200 	      8
Job 15:      0 	     10 	     10-     5 	      8
Job 16:      3 	     95 	      4-    10 	      4
Job 17:      0 	      7 	      7-    10 	      1
Job 18:      4 	    328 	      3-    15 	      8
Job 19:      7 	  14899 	      1-   240 	     16
Job 20:      3 	  14718 	      2-   180 	     32
Job 21:      1 	    187 	      5-     5 	      1
Job 22:      1 	    320 	      8-    60 	      9
Job 23:      9 	     87 	      9-    30 	      2
Job 24:      4 	    147 	      4-    10 	      8
Job 25:      2 	  14915 	      4-    10 	     64
Job 26:      2 	  24263 	      5-     5 	      1
Job 27:      0 	   1401 	     10-     5 	      4
Job 28:      0 	  12635 	     12-   600 	    166
Job 29:      2 	     17 	      4-    10 	      1
Job 30:      0 	     43 	      4-    10 	      2
Job 31:      2 	    163 	      7-    10 	      1
Job 32:      5 	     35 	      9-    30 	      4
Job 33:      2 	     32 	      6-    10 	      1
Job 34:      4 	  22604 	     10-     5 	     64
Job 35:      0 	   8960 	      3-    15 	    128
Job 36:      6 	  13628 	      4-    10 	     32
Job 37:      0 	  11073 	     10-     5 	      4
Job 38:      1 	  11516 	     11-  1200 	    128
Job 39:      0 	     42 	      3-    15 	      2
Job 40:      0 	     42 	      3-    15 	      7
Job 41:      0 	  13284 	     11-  1200 	     16
Job 42:      4 	     92 	      1-   240 	      1
Job 43:      4 	   6507 	      7-    10 	      1
Job 44:      1 	     16 	      3-    15 	      4
Job 45:      0 	   7577 	     11-  1200 	     16
Job 46:    256 	     16 	      3-    15 	      1
Job 47:     45 	    933 	     10-     5 	     32
Job 48:     11 	      1 	      1-   240 	      4
Job 49:      1 	    297 	     11-  1200 	      8
Job 50:      2 	    262 	      2-   180 	      5
Job 51:      2 	   1368 	      3-    15 	      1
Job 52:      1 	  12894 	     11-  1200 	      1
Job 53:      4 	   8268 	      0-   210 	    128
Job 54:      0 	      2 	      2-   180 	      5
Job 55:      0 	      4 	      4-    10 	      2
Job 56:      0 	     74 	      9-    30 	      4
Job 57:      1 	     13 	      0-   210 	      4
Job 58:      2 	     12 	     12-   600 	     64
Job 59:      1 	  14974 	     11-  1200 	      4
